25-1062,616.0
25-1062.00,14.0
25-1063,3060.0
25-1063.00,84.0
25-1064,506.0
25-1064.00,11.0
25-1065,1298.0
25-1065.00,27.0
25-1066,1234.0
25-1066.00,23.0
25-1067,536.0
25-1067.00,23.0
25-1069,351.0
25-1069.00,10.0
25-1069.99,1.0
25-1071,12301.0
25-1071-00,6.0
25-1071.00,276.0
25-1072,506.0
25-1072.00,10.0
25-1081,1902.0
25-1081.00,29.0
25-1082,187.0
25-1082.00,3.0
25-1111,262.0
25-1111.00,6.0
25-1112,294.0
25-1112.00,10.0
25-1113,319.0
25-1113.00,7.0
25-1121,2413.0
25-1121.00,44.0
25-1122,1277.0
25-1122.00,25.0
25-1123,1380.0
25-1123.00,34.0
25-1124,5691.0
25-1124.00,126.0
25-1125,1062.0
25-1125.00,23.0
25-1126,1297.0
25-1126.00,22.0
25-1162,1.0
25-1191,89.0
25-1192,180.0
25-1192.00,4.0
25-1193,694.0
25-1193.00,15.0
25-1194,361.0
25-1199,1631.0
25-1199.99,24.0
25-201,1.0
25-2011,2263.0
25-2011-00,1.0
25-2011.00,32.0
25-2012,1864.0
25-2012.00,15.0
25-2015,2.0
25-2021,12379.0
25-2021.00,176.0
25-2022,4152.0
25-2022.00,59.0
25-2023,39.0
25-2025,1.0
25-2031,13573.0
25-2031.00,188.0
25-2032,82.0
25-2041,1780.0
25-2041.00,18.0
25-2042,335.0
25-2042.00,6.0
25-2043,485.0
25-2043.00,8.0
25-2045,1.0
25-2051,153.0
25-2052,614.0
25-2052.00,1.0
25-2053,705.0
25-2053.00,1.0
25-2054,1051.0
25-2054.00,1.0
25-2059,208.0
25-3011,498.0
25-3011.00,6.0
25-3021,778.0
25-3021.00,22.0
25-3098,10.0
25-3099,2758.0
25-3099.00,50.0
25-3099.02,1.0
25-3099.99,22.0
25-3999,1163.0
25-3999.00,3.0
25-4011,230.0
25-4011.00,1.0
25-4012,1079.0
25-4012.00,20.0
25-4013,329.0
25-4013.00,6.0
25-4021,729.0
25-4021.00,21.0
25-4031,21.0
25-7054,2.0
25-9011,139.0
25-9011.00,2.0
25-9021,282.0
25-9021.00,3.0
25-9030,1.0
25-9031,4255.0
25-9031.00,55.0
25-9031.01,13.0
25-9041,139.0
25-9099,457.0
25-9099.99,5.0
25-9199,7.0
26-1062.00,1.0
26-1065,1.0
26-1067,1.0
26-1069,1.0
27-1011,3108.0
27-1011.00,58.0
27-1012,27.0
27-1013,155.0
27-1013.00,2.0
27-1013.01,1.0
27-1014,4507.0
27-1014.00,96.0
27-1019,245.0
27-1019.00,2.0
27-1019.99,1.0
27-1021,11631.0
27-1021-00,4.0
27-1021.,2.0
27-1021.00,198.0
27-1022,3943.0
27-1022.00,46.0
27-1023,14.0
27-1024,16581.0
27-1024.00,218.0
27-1025,3673.0
27-1025.00,99.0
27-1026,26.0
27-1026.00,1.0
27-1027,287.0
27-1027.00,2.0
27-1027.02,1.0
27-1029,1963.0
27-1029.00,21.0
27-1029.99,10.0
27-1041,1.0
27-2011,44.0
27-2011.00,1.0
27-2012,2684.0
27-2012.00,3.0
27-2012.01,36.0
27-2012.02,1.0
27-2012.03,4.0
27-2012.04,1.0
27-2012.05,10.0
27-2014,1.0
27-2021,8.0
27-2021.00,1.0
27-2022,3410.0
27-2022.00,91.0
27-2023,3.0
27-2031,34.0
27-2031.00,1.0
27-2032,72.0
27-2032.00,1.0
27-2041,865.0
27-2041.00,2.0
27-2041.01,4.0
27-2042,219.0
27-2042.02,1.0
27-2099,84.0
27-2099.99,1.0
27-2141,1.0
27-3011,34.0
27-3020,20.0
27-3021,139.0
27-3021.00,2.0
27-3022,2245.0
27-3022.00,47.0
27-3031,9689.0
27-3031.00,107.0
27-3041,3331.0
27-3041.00,47.0
27-3042,2864.0
27-3042.00,54.0
27-3043,1382.0
27-3043.00,5.0
27-3043.04,34.0
27-3043.05,2.0
27-3091,2207.0
27-3091.00,27.0
27-3099,1632.0
27-3099.00,5.0
27-3099.99,18.0
27-4011,75.0
27-4012,33.0
27-4012.00,2.0
27-4014,139.0
27-4021,186.0
27-4021.00,2.0
27-4031,90.0
27-4032,809.0
27-4032.00,5.0
27-4099,32.0
27-4099.99,3.0
28-2022,1.0
29-1011,805.0
29-1011.00,3.0
29-1020,1.0
29-1021,7117.0
29-1021.00,146.0
29-1022,162.0
29-1022.00,5.0
29-1023,194.0
29-1023.00,1.0
29-1024,90.0
29-1027.00,1.0
29-1029,1293.0
29-1029.00,10.0
29-1029.99,5.0
29-1031,949.0
29-1031.00,9.0
29-1032,7.0
29-1033,2.0
29-1041,740.0
29-1041.00,12.0
29-1051,12269.0
29-1051.00,230.0
29-1061,762.0
29-1061.00,12.0
29-1062,7324.0
29-1062.00,118.0
29-1063,17051.0
29-1063.00,285.0
29-1063.03,3.0
29-1064,1008.0
29-1064.00,20.0
29-1065,3987.0
29-1065.00,92.0
29-1066,2946.0
29-1066.00,61.0
29-1067,1537.0
29-1067.00,47.0
29-1069,45495.0
29-1069.00,95.0
29-1069.03,74.0
29-1069.04,15.0
29-1069.06,1.0
29-1069.07,1.0
29-1069.10,6.0
29-1069.12,1.0
29-1069.99,384.0
29-1071,580.0
29-1071.00,6.0
29-1081,205.0
29-1081.00,1.0
29-1096,1.0
29-1111,3051.0
29-1111-00,1.0
29-1111.00,34.0
29-1114,12.0
29-1114.00,10.0
29-1115,13.0
29-1121,56.0
29-1122,6564.0
29-1122.00,208.0
29-1123,28671.0
29-1123-00,5.0
29-1123.00,510.0
29-1124,44.0
29-1124.00,2.0
29-1125,359.0
29-1125.00,3.0
29-1125.02,1.0
29-1126,34.0
29-1127,3698.0
29-1127.00,66.0
29-1128,415.0
29-1128.00,1.0
29-1129,192.0
29-1129.00,4.0
29-1129.99,1.0
29-1131,3174.0
29-1131.00,70.0
29-1141,1021.0
29-1141.00,6.0
29-1141.04,2.0
29-1151,28.0
29-1161,2.0
29-1171,441.0
29-1181,135.0
29-1181.00,1.0
29-1199,5102.0
29-1199.00,1.0
29-1199.01,1.0
29-1199.05,2.0
29-1199.99,57.0
29-1603,1.0
29-163,1.0
29-1969,2.0
29-2011,8520.0
29-2011.00,149.0
29-2012,323.0
29-2012.00,10.0
29-2021,22.0
29-2031,40.0
29-2032,44.0
29-2032.00,2.0
29-2033,44.0
29-2033.00,2.0
29-2034,56.0
29-2037,27.0
29-2041,9.0
29-2051,9.0
29-2052,562.0
29-2052.00,2.0
29-2053,4.0
29-2053.00,1.0
29-2054,1.0
29-2055,17.0
29-2056,130.0
29-2056.00,2.0
29-2057,5.0
29-2061,26.0
29-2062.00,1.0
29-2071,187.0
29-2071.00,6.0
29-2081,7.0
29-2091,235.0
29-2091.00,6.0
29-2092,1.0
29-2099,269.0
29-2099.00,3.0
29-2099.99,4.0
29-2799,107.0
29-9010,4.0
29-9011,821.0
29-9011.00,12.0
29-9012,23.0
29-9012.00,1.0
29-9091,710.0
29-9091.00,9.0
29-9092,94.0
29-9092.00,1.0
29-9099,3627.0
29-9099.00,2.0
29-9099.99,28.0
29-9199,154.0
29-9199.00,5.0
29-9799,1256.0
31-1011,23.0
31-1012,7.0
31-1013,10.0
31-1014,5.0
31-2011,5.0
31-2011-00,1.0
31-2021,148.0
31-2022,22.0
31-9011,18.0
31-9091,76.0
31-9091.00,3.0
31-9092,110.0
31-9093,10.0
31-9094,3.0
31-9095,27.0
31-9096,57.0
31-9099,227.0
31-9099.01,1.0
31-9099.99,1.0
31-9799,60.0
33-1012,2.0
33-1021,1.0
33-1099,14.0
33-3021,53.0
33-3051,2.0
33-9021,18.0
33-9032,7.0
33-9092,16.0
33-9099,2.0
35-1001,1.0
35-1011,1139.0
35-1011.00,18.0
35-1012,164.0
35-1101,1.0
35-2011,3.0
35-2012,2.0
35-2013,7.0
35-2014,109.0
35-2015,3.0
35-2019,12.0
35-2021,4.0
35-3011,9.0
35-3022,3.0
35-3031,14.0
35-3041,5.0
35-9021,1.0
35-9031,7.0
35-9099,5.0
37-1011,77.0
37-1012,56.0
37-1012.00,4.0
37-2011,6.0
37-2012,5.0
37-2019,1.0
37-2021,1.0
37-3011,12.0
37-3013,10.0
37-3019,5.0
39-1011,5.0
39-1021,40.0
39-1021.00,1.0
39-2011,60.0
39-2021,12.0
39-2021.00,1.0
39-3019,1.0
39-3031,2.0
39-3032,4.0
39-3091,6.0
39-3092,1.0
39-3099,9.0
39-4021,1.0
39-4031,4.0
39-4831,2.0
39-5011,2.0
39-5012,35.0
39-5091,15.0
39-5092,1.0
39-5094,7.0
39-6012,14.0
39-6021,9.0
39-6022,11.0
39-7011,19.0
39-7012,26.0
